,School_Original,Nickname_Original,Conference_Original,ID,FullName,ShortName,Mascot,Location,Conference,PrestigeHistoric,PrestigeCurrent
102,University of Nebraska–Lincoln (Nebraska),Cornhuskers,Big Ten,,,,,,,,
103,Northwestern University,Wildcats,Big Ten,,,,,,,,
104,Ohio State University,Buckeyes,Big Ten,,,,,,,,
105,Pennsylvania State University (Penn State),Nittany Lions,Big Ten,,,,,,,,
106,Purdue University,Boilermakers,Big Ten,,,,,,,,
107,Rutgers University–New Brunswick (Rutgers),Scarlet Knights,Big Ten,,,,,,,,
108,University of Wisconsin–Madison (Wisconsin),Badgers,Big Ten,,,,,,,,
109,Baylor University,Bears,Big 12,,,,,,,,
110,Brigham Young University (BYU),Cougars,Big 12,,,,,,,,
111,University of Central Florida (UCF),Knights,Big 12,,,,,,,,
112,University of Cincinnati (UC),Bearcats,Big 12,,,,,,,,
113,University of Houston,Cougars,Big 12,,,,,,,,
114,Iowa State University,Cyclones,Big 12,,,,,,,,
115,University of Kansas,Jayhawks,Big 12,,,,,,,,
116,Kansas State University,Wildcats,Big 12,,,,,,,,
117,University of Oklahoma,Sooners,Big 12[f],,,,,,,,
118,Oklahoma State University–Stillwater (Oklahoma State),Cowboys,Big 12,,,,,,,,
119,University of Texas at Austin (Texas),Longhorns,Big 12[f],,,,,,,,
120,Texas Christian University (TCU),Horned Frogs,Big 12,,,,,,,,
121,Texas Tech University,Red Raiders,Big 12,,,,,,,,
122,West Virginia University (WVU),Mountaineers,Big 12,,,,,,,,
123,California Polytechnic State University (Cal Poly),Mustangs,Big West,,,,,,,,
124,"California State University, Bakersfield (CSU Bakersfield or Cal State Bakersfield)",Roadrunners,Big West,,,,,,,,
125,"California State University, Fullerton (Cal State Fullerton)",Titans,Big West,,,,,,,,
126,"California State University, Northridge (Cal State Northridge or CSUN)",Matadors,Big West,,,,,,,,
127,University of Hawaiʻi at Mānoa (Hawaii),Rainbow Warriors,Big West,,,,,,,,
128,"California State University, Long Beach (Long Beach State)",The Beach,Big West,,,,,,,,
129,"University of California, Davis (UC Davis)",Aggies,Big West,,,,,,,,
