asciiname,latitude,longitude,admin1 code,timezone
Greensboro,32.70415,-87.5955,AL,America/Chicago
Greenville,31.8296,-86.61775,AL,America/Chicago
Grove Hill,31.70877,-87.77722,AL,America/Chicago
Guin,33.96566,-87.91475,AL,America/Chicago
Gulf Shores,30.24604,-87.70082,AL,America/Chicago
Guntersville,34.35823,-86.29446,AL,America/Chicago
Hackleburg,34.27732,-87.82864,AL,America/Chicago
Haleyville,34.22649,-87.62141,AL,America/Chicago
Hamilton,34.14232,-87.98864,AL,America/Chicago
Hanceville,34.06065,-86.7675,AL,America/Chicago
Harpersville,33.344,-86.43804,AL,America/Chicago
Hartford,31.1024,-85.69688,AL,America/Chicago
Hartselle,34.44343,-86.93528,AL,America/Chicago
Harvest,34.85564,-86.75083,AL,America/Chicago
Hayden,33.8926,-86.75777,AL,America/Chicago
Hayneville,32.18403,-86.58025,AL,America/Chicago
Hazel Green,34.93231,-86.57194,AL,America/Chicago
Headland,31.35128,-85.34216,AL,America/Chicago
Heflin,33.64899,-85.58746,AL,America/Chicago
Helena,33.29622,-86.8436,AL,America/Chicago
Henagar,34.63508,-85.76719,AL,America/Chicago
Hokes Bluff,33.99815,-85.86636,AL,America/Chicago
Holt,33.23401,-87.48445,AL,America/Chicago
Holtville,32.63624,-86.32664,AL,America/Chicago
Homewood,33.47177,-86.80082,AL,America/Chicago
Hoover,33.40539,-86.81138,AL,America/Chicago
Horton,34.20093,-86.29692,AL,America/Chicago
Hueytown,33.45122,-86.99666,AL,America/Chicago
Huguley,32.83457,-85.22966,AL,America/Chicago
Huntsville,34.7304,-86.58594,AL,America/Chicago
Indian Springs Village,33.35539,-86.75443,AL,America/Chicago
Inverness,32.01488,-85.74606,AL,America/Chicago
Irondale,33.53816,-86.70721,AL,America/Chicago
Jackson,31.50905,-87.89444,AL,America/Chicago
Jacksonville,33.81382,-85.7613,AL,America/Chicago
Jasper,33.83122,-87.27751,AL,America/Chicago
Jemison,32.95985,-86.74665,AL,America/Chicago
Kimberly,33.77344,-86.81388,AL,America/Chicago
Kinsey,31.29906,-85.34438,AL,America/Chicago
Ladonia,32.4682,-85.0791,AL,America/New_York
Lafayette,32.89985,-85.40106,AL,America/Chicago
Lake Purdy,33.43011,-86.68054,AL,America/Chicago
Lake View,33.28067,-87.1375,AL,America/Chicago
Lanett,32.86874,-85.1905,AL,America/Kentucky/Louisville
Leeds,33.54816,-86.54443,AL,America/Chicago
Leesburg,34.17982,-85.76136,AL,America/Chicago
Level Plains,31.29962,-85.77799,AL,America/Chicago
Linden,32.30625,-87.79807,AL,America/Chicago
Lincoln,33.61316,-86.11831,AL,America/Chicago
Lineville,33.31067,-85.75441,AL,America/Chicago
Lipscomb,33.42566,-86.92666,AL,America/Chicago
Livingston,32.5843,-88.18725,AL,America/Chicago
Locust Fork,33.9076,-86.61527,AL,America/Chicago
Loxley,30.61825,-87.75305,AL,America/Chicago
Luverne,31.71655,-86.26385,AL,America/Chicago
Madison,34.69926,-86.74833,AL,America/Chicago
Malvern,31.13934,-85.5191,AL,America/Chicago
Marbury,32.70124,-86.47109,AL,America/Chicago
Margaret,33.68621,-86.47498,AL,America/Chicago
Marion,32.63235,-87.31917,AL,America/Chicago
Meadowbrook,33.40205,-86.69665,AL,America/Chicago
Meridianville,34.85148,-86.57222,AL,America/Chicago
Midfield,33.4615,-86.90888,AL,America/Chicago
Midland City,31.31906,-85.49382,AL,America/Chicago
Mignon,33.18345,-86.26109,AL,America/Chicago
Millbrook,32.47986,-86.36192,AL,America/Chicago
Minor,33.53733,-86.94055,AL,America/Chicago
Mobile,30.69436,-88.04305,AL,America/Chicago
Monroeville,31.52794,-87.32471,AL,America/Chicago
Montevallo,33.10067,-86.86416,AL,America/Chicago
Montgomery,32.36681,-86.29997,AL,America/Chicago
Moody,33.59094,-86.49082,AL,America/Chicago
Moores Mill,34.84398,-86.51832,AL,America/Chicago
Morris,33.74816,-86.8086,AL,America/Chicago
Moulton,34.48121,-87.29335,AL,America/Chicago
Moundville,32.99762,-87.63001,AL,America/Chicago
Mount Olive,33.67094,-86.8561,AL,America/Chicago
Mount Vernon,31.08518,-88.01333,AL,America/Chicago
Mountain Brook,33.50094,-86.75221,AL,America/Chicago
Munford,33.52983,-85.9508,AL,America/Chicago
Muscle Shoals,34.74481,-87.66753,AL,America/Chicago
New Brockton,31.38572,-85.92939,AL,America/Chicago
New Hope,34.53712,-86.39426,AL,America/Chicago
New Market,34.91003,-86.42779,AL,America/Chicago
Newton,31.33517,-85.60521,AL,America/Chicago
North Bibb,33.20401,-87.15305,AL,America/Chicago
Northport,33.22901,-87.57723,AL,America/Chicago
Odenville,33.67732,-86.39665,AL,America/Chicago
Ohatchee,33.78343,-86.00247,AL,America/Chicago
Opelika,32.64541,-85.37828,AL,America/Chicago
Oneonta,33.94815,-86.47276,AL,America/Chicago
Opp,31.28267,-86.25551,AL,America/Chicago
Orange Beach,30.29437,-87.57359,AL,America/Chicago
Owens Cross Roads,34.58815,-86.45888,AL,America/Chicago
Oxford,33.61427,-85.83496,AL,America/Chicago
Ozark,31.45906,-85.64049,AL,America/Chicago
Pelham,33.28567,-86.80999,AL,America/Chicago
Pell City,33.58621,-86.28609,AL,America/Chicago
Phenix City,32.47098,-85.00077,AL,America/New_York
Phil Campbell,34.35093,-87.70642,AL,America/Chicago
Piedmont,33.92455,-85.61135,AL,America/Chicago
Pike Road,32.28431,-86.10302,AL,America/Chicago
Pine Level,32.58374,-86.46553,AL,America/Chicago
Pinson,33.68899,-86.68332,AL,America/Chicago
Pleasant Grove,33.49094,-86.97027,AL,America/Chicago
Point Clear,30.47408,-87.91916,AL,America/Chicago
Prattville,32.46402,-86.4597,AL,America/Chicago
Priceville,34.52509,-86.89473,AL,America/Chicago
Prichard,30.7388,-88.07889,AL,America/Chicago
Ragland,33.74454,-86.15581,AL,America/Chicago
Rainbow City,33.95482,-86.04192,AL,America/Chicago
Rainsville,34.49425,-85.84775,AL,America/Chicago
Red Bay,34.43982,-88.14087,AL,America/Chicago
Reform,33.37845,-88.0153,AL,America/Chicago
Rehobeth,31.12296,-85.45271,AL,America/Chicago
Riverside,33.60621,-86.20442,AL,America/Chicago
Roanoke,33.15123,-85.37217,AL,America/Chicago
Robertsdale,30.5538,-87.71193,AL,America/Chicago
Rock Creek,33.47705,-87.08027,AL,America/Chicago
Rockford,32.88957,-86.21969,AL,America/Chicago
Rogersville,34.82578,-87.29676,AL,America/Chicago
Russellville,34.50787,-87.72864,AL,America/Chicago
Saks,33.69871,-85.83969,AL,America/Chicago
Samson,31.11295,-86.04605,AL,America/Chicago
Saraland,30.82074,-88.07056,AL,America/Chicago
Sardis City,34.17426,-86.12275,AL,America/Chicago
Satsuma,30.85324,-88.05611,AL,America/Chicago
Scottsboro,34.67231,-86.03415,AL,America/Chicago
Selma,32.40736,-87.0211,AL,America/Chicago
Semmes,30.77824,-88.25917,AL,America/Chicago
Sheffield,34.76509,-87.69864,AL,America/Chicago
Shelby,33.1104,-86.58415,AL,America/Chicago
Slocomb,31.10823,-85.59438,AL,America/Chicago
Smiths Station,32.54014,-85.09855,AL,America/Kentucky/Louisville
Smoke Rise,33.89177,-86.82027,AL,America/Chicago
Southside,33.92454,-86.02247,AL,America/Chicago
Spanish Fort,30.67491,-87.91527,AL,America/Chicago
Springville,33.77505,-86.47191,AL,America/Chicago
Steele,33.93982,-86.20164,AL,America/Chicago
Stevenson,34.86869,-85.83942,AL,America/Chicago
Stewartville,33.07929,-86.24442,AL,America/Chicago
Sulligent,33.90177,-88.13448,AL,America/Chicago
Sumiton,33.75566,-87.05,AL,America/Chicago
Summerdale,30.4877,-87.69971,AL,America/Chicago
Sylacauga,33.17317,-86.25164,AL,America/Chicago
Sylvan Springs,33.51566,-87.01499,AL,America/Chicago
Sylvania,34.56231,-85.81247,AL,America/Chicago
Talladega,33.43594,-86.1058,AL,America/Chicago
Tallassee,32.53597,-85.89329,AL,America/Chicago
Tarrant,33.58344,-86.77277,AL,America/Chicago
Taylor,31.1649,-85.46827,AL,America/Chicago
Taylor,31.97543,-86.2333,AL,America/Chicago
Theodore,30.54769,-88.17528,AL,America/Chicago
Thomasville,31.91349,-87.73584,AL,America/Chicago
Thorsby,32.91568,-86.71582,AL,America/Chicago
Tillmans Corner,30.59019,-88.17084,AL,America/Chicago
Town Creek,34.6812,-87.40613,AL,America/Chicago
Trinity,34.60676,-87.08835,AL,America/Chicago
